question,answer,label
What is the policy on exceptional guest waivers?,Full waiver allowed for official guests upon approval.,EDC Guest House Management Policy and Revised Rates
Can sub-campus employees use EDC Guest House?,"Yes, with 50% discount for families.",EDC Guest House Management Policy and Revised Rates
Are food rates fixed monthly?,"Yes, approved by EDC Director.",EDC Guest House Management Policy and Revised Rates
Is lodging prioritized for university guests?,"Yes, but subject to availability.",EDC Guest House Management Policy and Revised Rates
Is meal cost included for additional guests?,"No, additional charges apply.",EDC Guest House Management Policy and Revised Rates
What types of guests are considered official?,"Speakers, industry experts, government invitees, and HEC dignitaries.",EDC Guest House Management Policy and Revised Rates
Can training events be booked via email?,"Yes, through official communication to the Administrative Officer.",EDC Guest House Management Policy and Revised Rates
Is laundry service part of the offering?,Not specified; may depend on request or package.,EDC Guest House Management Policy and Revised Rates
Who approves training space rentals?,Director EDC or Vice Chancellor.,EDC Guest House Management Policy and Revised Rates
Are refundable deposits required?,Not explicitly mentioned; may be part of agreement.,EDC Guest House Management Policy and Revised Rates
What defines corporate client eligibility?,Entities having MoUs or project affiliations with SIBAU.,EDC Guest House Management Policy and Revised Rates
Can walk-in guests use the guest house?,"No, only booked and approved guests.",EDC Guest House Management Policy and Revised Rates
What is the SOP for food charges waiver?,Must be approved by Vice Chancellor.,EDC Guest House Management Policy and Revised Rates
Are multimedia and Wi-Fi included in training halls?,"Yes, built-in facilities include multimedia, sound system, and Wi-Fi.",EDC Guest House Management Policy and Revised Rates
Can training be conducted on weekends?,"Yes, subject to approval and booking.",EDC Guest House Management Policy and Revised Rates
Are guests allowed for long-term stay?,"Yes, up to one year lease with VC approval.",EDC Guest House Management Policy and Revised Rates
Who maintains the guest house accounts?,EDC administrative and accounts officers.,EDC Guest House Management Policy and Revised Rates
Can guest house rates be revised?,"Yes, as per syndicate approval and VC's discretion.",EDC Guest House Management Policy and Revised Rates
Is a complaint mechanism provided for guests?,Not specified directly; possibly through administrative channel.,EDC Guest House Management Policy and Revised Rates
Are referral guests eligible for discounts?,No discounts unless they fall under official exception.,EDC Guest House Management Policy and Revised Rates
What is the purpose of the HEC Policy on Drug and Tobacco Abuse?,"To ensure Higher Education Institutions are drug- and tobacco-free, promoting student health and compliance with national laws.",Policy on Drug and Tobacco Abuse
Who does this policy apply to?,"All students, faculty, staff, and visitors at both public and private HEIs.",Policy on Drug and Tobacco Abuse
What is drug abuse under this policy?,"The possession, use, or sale of illegal drugs and unauthorized substances.",Policy on Drug and Tobacco Abuse
What are examples of drugs included in the policy?,"Cannabis, alcohol, methamphetamine, heroin, cocaine, pharmaceutical cocktails, etc.",Policy on Drug and Tobacco Abuse
What is meant by illicit smoking?,"Smoking of any form that is not legally permitted, considered as drug abuse.",Policy on Drug and Tobacco Abuse
What is the Anti-Drug and Tobacco Committee (ADTC)?,A mandatory committee in each HEI to implement this policy and oversee compliance.,Policy on Drug and Tobacco Abuse
Who heads the ADTC?,The senior-most member of the committee.,Policy on Drug and Tobacco Abuse
Who appoints the members of ADTC?,The Vice Chancellor/Rector of the HEI.,Policy on Drug and Tobacco Abuse
How long do ADTC members serve?,"Three years, non-renewable for more than one similar term.",Policy on Drug and Tobacco Abuse
What is the role of the Focal Person under this policy?,To liaise between students/faculty/staff and the ADTC regarding drug or tobacco abuse concerns.,Policy on Drug and Tobacco Abuse
Are HEIs required to provide awareness programs?,"Yes, including orientations, seminars, and e-courses.",Policy on Drug and Tobacco Abuse
What is the purpose of orientation under this policy?,To inform all new students and staff about drug risks and policy guidelines.,Policy on Drug and Tobacco Abuse
Is student consent required for this policy to apply?,"No, it is binding regardless of consent, through institutional mandate.",Policy on Drug and Tobacco Abuse
What is included in awareness campaigns?,"Posters, lectures, rehab referrals, participation in global awareness days.",Policy on Drug and Tobacco Abuse
Can students report anonymously?,"Yes, through the Focal Person or ADTC.",Policy on Drug and Tobacco Abuse
What disciplinary actions are outlined?,"Penalties range from warnings to expulsion, based on severity.",Policy on Drug and Tobacco Abuse
What is the legal basis for this policy?,"Control of Narcotic Substances Act, 1997 and Prohibition of Smoking Ordinance, 2002.",Policy on Drug and Tobacco Abuse
How often must HEIs conduct awareness events?,Regularly throughout the academic year.,Policy on Drug and Tobacco Abuse
Is a written undertaking required from students?,"Yes, all students and employees must sign anti-drug/tobacco undertakings.",Policy on Drug and Tobacco Abuse
What is the purpose of self-paced e-courses?,To train students and staff on drug and tobacco abuse prevention.,Policy on Drug and Tobacco Abuse
Are parents informed about this policy?,"Yes, through handbooks and admission materials.",Policy on Drug and Tobacco Abuse
Can the policy extend to hostels and university transport?,"Yes, all university-controlled areas are covered.",Policy on Drug and Tobacco Abuse
What should students do if they witness drug abuse?,Report to the Focal Person or ADTC immediately.,Policy on Drug and Tobacco Abuse
Are students referred to rehabilitation centers?,"Yes, in coordination with medical or psychological professionals.",Policy on Drug and Tobacco Abuse
Can suspected students be tested?,"Yes, with consent or as part of a justified investigation.",Policy on Drug and Tobacco Abuse
What happens if the policy is violated?,The case is investigated and resolved by the ADTC.,Policy on Drug and Tobacco Abuse
What is the role of external partners in implementation?,NGOs and rehab centers may support awareness and rehab initiatives.,Policy on Drug and Tobacco Abuse
Are guest speakers involved in awareness sessions?,"Yes, experts from relevant fields are invited.",Policy on Drug and Tobacco Abuse
Are campuses declared smoke-free?,"Yes, and signage must be posted.",Policy on Drug and Tobacco Abuse
What are the punishments for tobacco possession?,As per national laws and university regulations.,Policy on Drug and Tobacco Abuse
Is passive smoking addressed?,"Yes, as it contributes to health risks.",Policy on Drug and Tobacco Abuse
Who is responsible for enforcing signage on campus?,University administration through the ADTC.,Policy on Drug and Tobacco Abuse
Can students be relocated from hostels for violations?,"Yes, if found abusing drugs.",Policy on Drug and Tobacco Abuse
What happens in exceptional student addiction cases?,They are referred for rehabilitation and supported confidentially.,Policy on Drug and Tobacco Abuse
Is tobacco advertising allowed?,"No, advertising and sale near campus are banned.",Policy on Drug and Tobacco Abuse
What support is available for mental health?,"Referral to counseling, psychiatric, and medical services.",Policy on Drug and Tobacco Abuse
Who must approve drug testing procedures?,"The university, in accordance with legal and ethical standards.",Policy on Drug and Tobacco Abuse
What should HEIs do on World No Tobacco Day?,Organize awareness events and educational activities.,Policy on Drug and Tobacco Abuse
Are disciplinary hearings part of the policy?,"Yes, through the ADTC’s authority.",Policy on Drug and Tobacco Abuse
Can this policy override other university rules?,It complements them and may reinforce stricter standards.,Policy on Drug and Tobacco Abuse
Are repeated violations punished more severely?,"Yes, with escalating consequences.",Policy on Drug and Tobacco Abuse
Can faculty be penalized for violations?,"Yes, the policy applies to all members of the HEI.",Policy on Drug and Tobacco Abuse
Are tobacco products banned in cafeterias?,"Yes, including smoking zones unless legally designated.",Policy on Drug and Tobacco Abuse
Is there any legal immunity for HEIs under this policy?,"No, HEIs are required to comply with all national laws.",Policy on Drug and Tobacco Abuse
Who monitors compliance on campuses?,ADTC and university administration.,Policy on Drug and Tobacco Abuse
Are policies reviewed and updated?,"Yes, periodically to align with HEC and legal changes.",Policy on Drug and Tobacco Abuse
Are there anonymous complaint mechanisms?,"Yes, accessible via ADTC or designated Focal Persons.",Policy on Drug and Tobacco Abuse
What if a complaint is made in bad faith?,It may result in disciplinary action against the complainant.,Policy on Drug and Tobacco Abuse
How are stakeholders informed?,"Through handbooks, emails, signage, and university websites.",Policy on Drug and Tobacco Abuse
What support is there for off-campus violations?,University may provide guidance but focuses on campus jurisdiction.,Policy on Drug and Tobacco Abuse
What is the purpose of the sexual harassment policy in HEIs?,To ensure safe academic and work environments free from sexual harassment.,Policy on Protection against Sexual Harassment
What conduct qualifies as sexual harassment?,"Unwelcome sexual advances, verbal/written communications, or physical conduct of a sexual nature.",Policy on Protection against Sexual Harassment
Is this policy legally binding on all HEIs?,"Yes, per the HEC Ordinance and the 2010 Harassment Act.",Policy on Protection against Sexual Harassment
Who does the policy apply to?,"All students, staff, faculty, visitors, and service providers.",Policy on Protection against Sexual Harassment
What is the jurisdiction of this policy?,"On-campus, off-campus HEI-linked activities, and digital platforms using HEI systems.",Policy on Protection against Sexual Harassment
What are “Designated Resources”?,"Focal Persons appointed to handle support, advice, and immediate help.",Policy on Protection against Sexual Harassment
What constitutes prohibited conduct?,"Sexual harassment, exploitation, stalking, discrimination based on sex, etc.",Policy on Protection against Sexual Harassment
Are electronic communications covered under this policy?,"Yes, including emails, texts, social media, and digital platforms.",Policy on Protection against Sexual Harassment
What forms the basis of harassment under this policy?,"Behavior that is non-consensual, hostile, or discriminatory.",Policy on Protection against Sexual Harassment
Can the accused be of any gender?,"Yes, harassment can be same-sex or cross-gender.",Policy on Protection against Sexual Harassment
Who appoints the Focal Persons?,HEI administration.,Policy on Protection against Sexual Harassment
How many Focal Persons are required?,"At least two, including one woman.",Policy on Protection against Sexual Harassment
What is the role of the Inquiry Committee?,Investigate and adjudicate sexual harassment complaints.,Policy on Protection against Sexual Harassment
How many members are in the Inquiry Committee?,"Three, including at least one woman and one senior administrator.",Policy on Protection against Sexual Harassment
How long is the term for Inquiry Committee members?,"Two years, renewable after a gap.",Policy on Protection against Sexual Harassment
Can informal complaints be made?,"Yes, for minor violations to prevent escalation.",Policy on Protection against Sexual Harassment
What is the time limit for lodging complaints?,"Within 3 months, extendable to 1 year with reason.",Policy on Protection against Sexual Harassment
Who may file a complaint?,Any member of the HEI who has experienced or witnessed harassment.,Policy on Protection against Sexual Harassment
Are complaints confidential?,"Yes, confidentiality is maintained for all parties.",Policy on Protection against Sexual Harassment
What are interim measures?,"Temporary steps like schedule changes, counseling, or no-contact orders.",Policy on Protection against Sexual Harassment
Can sexual jokes be considered harassment?,"Yes, if persistent or offensive.",Policy on Protection against Sexual Harassment
What if the accused is intoxicated?,Their impairment doesn’t reduce responsibility.,Policy on Protection against Sexual Harassment
What should happen within 24 hours of a complaint?,It must be shared with the entire Inquiry Committee and Focal Persons.,Policy on Protection against Sexual Harassment
What are examples of severe harassment?,"Rape, sexual exploitation, persistent harassment, or discrimination.",Policy on Protection against Sexual Harassment
Who can report a violation?,"Victims, witnesses, or HEI staff observing misconduct.",Policy on Protection against Sexual Harassment
Can HEIs take action without a formal complaint?,"Yes, for material violations affecting the community.",Policy on Protection against Sexual Harassment
Is stalking considered harassment?,"Yes, it is explicitly mentioned.",Policy on Protection against Sexual Harassment
Can retaliation occur after a complaint?,"No, retaliatory acts are prohibited and punishable.",Policy on Protection against Sexual Harassment
What resources are offered to the complainant?,"Counseling, schedule flexibility, and physical safety options.",Policy on Protection against Sexual Harassment
Is there legal recourse beyond HEI processes?,"Yes, under the 2010 Harassment Act via Ombudsperson.",Policy on Protection against Sexual Harassment
What is the role of the Chair of the Inquiry Committee?,Lead proceedings and coordinate decisions.,Policy on Protection against Sexual Harassment
Can service providers be held accountable?,"Yes, third parties are included under policy coverage.",Policy on Protection against Sexual Harassment
How are committee members selected?,By the VC with input from senior administration.,Policy on Protection against Sexual Harassment
Is there a penalty for false complaints?,Not specified but bad faith reports are discouraged.,Policy on Protection against Sexual Harassment
Are there training requirements?,"Yes, for committee members and university leadership.",Policy on Protection against Sexual Harassment
What kind of support is available for victims?,"Academic, medical, and psychological support.",Policy on Protection against Sexual Harassment
Are proceedings documented?,"Yes, and managed by the Inquiry Committee.",Policy on Protection against Sexual Harassment
Can interim measures be changed if ineffective?,"Yes, by request to the Committee.",Policy on Protection against Sexual Harassment
Can the committee include external members?,"Yes, if three internal members cannot be designated.",Policy on Protection against Sexual Harassment
Who reviews policy compliance?,University management and HEC as regulators.,Policy on Protection against Sexual Harassment
What is the difference between harassment and sex discrimination?,Harassment involves behavior; discrimination involves unequal treatment.,Policy on Protection against Sexual Harassment
How are complaints filed electronically?,Through email or online portals set by HEIs.,Policy on Protection against Sexual Harassment
Is the policy part of student orientation?,"Yes, all new students are made aware.",Policy on Protection against Sexual Harassment
Are awareness posters required?,"Yes, to be displayed throughout campuses.",Policy on Protection against Sexual Harassment
What must HEIs publish online?,Contact info of Focal Persons and committee members.,Policy on Protection against Sexual Harassment
What if the harasser is a senior staff member?,"Policy applies equally, regardless of position.",Policy on Protection against Sexual Harassment
What if the victim is unsure whether conduct qualifies?,They can seek advice from Focal Persons without formally filing a complaint.,Policy on Protection against Sexual Harassment
What are the common examples of harassment?,"Lewd comments, persistent flirting, visual gestures, coercion, and exploitation.",Policy on Protection against Sexual Harassment
Can off-campus misconduct be investigated?,"Yes, if it creates a hostile environment or is related to HEI activities.",Policy on Protection against Sexual Harassment
What happens when interim measures are denied?,The complainant may escalate to the Inquiry Committee.,Policy on Protection against Sexual Harassment
Who is eligible for university housing allotment?,Regular employees (faculty/officers BPS-17 and above) of Sukkur IBA University.,Rules of Allotment of Houses for Employees
What is the effective date of these allotment rules?,"September 1, 2022.",Rules of Allotment of Houses for Employees
What does “house” refer to in these rules?,"Bungalow, flat, suite, or room owned by the university.",Rules of Allotment of Houses for Employees
How is housing allotted between faculty and officers?,80% for faculty and 20% for officers (BPS-17+).,Rules of Allotment of Houses for Employees
What happens if a faculty member refuses the housing when offered?,Their name is removed from the list and must reapply.,Rules of Allotment of Houses for Employees
Who maintains the seniority list for housing?,The office of Colony Affairs.,Rules of Allotment of Houses for Employees
Is a separate merit list maintained for officers and faculty?,"Yes, for transparency and fairness.",Rules of Allotment of Houses for Employees
What is required to apply for a house?,Application routed through proper channel to Colony Affairs.,Rules of Allotment of Houses for Employees
What is the timeline to move into the house after allotment?,Within 30 days.,Rules of Allotment of Houses for Employees
What happens if someone goes on study leave for more than six months?,They must vacate the allotted residence.,Rules of Allotment of Houses for Employees
What is the notice period to vacate on resignation or dismissal?,30 days.,Rules of Allotment of Houses for Employees
How long can retirees stay in university housing?,Not more than 180 days.,Rules of Allotment of Houses for Employees
How long can a widow stay after an employee’s death?,"Up to 150 days, observing 130-day Iddat period.",Rules of Allotment of Houses for Employees
What if a male employee dies and has no widow?,The family must vacate within 30 days.,Rules of Allotment of Houses for Employees
How is merit for housing calculated?,"Grade, years of service, application date, and qualifications.",Rules of Allotment of Houses for Employees
Are higher education qualifications considered in merit?,"Yes, points are given for Bachelor’s and higher degrees.",Rules of Allotment of Houses for Employees
Are distance points added to merit?,"Yes, based on province or country of residence.",Rules of Allotment of Houses for Employees
Is age used to break merit tie?,"Yes, older applicants are prioritized.",Rules of Allotment of Houses for Employees
What happens if an employee is terminated or removed?,Must vacate housing within 30 days.,Rules of Allotment of Houses for Employees
Are part-time or temporary employees eligible?,"No, only regular BPS-17 and above employees.",Rules of Allotment of Houses for Employees
Can housing be allotted without merit?,"No, allotments are strictly merit-based.",Rules of Allotment of Houses for Employees
Can Colony Affairs cancel an allotment?,"Yes, if rules are violated.",Rules of Allotment of Houses for Employees
What document is issued upon application submission?,A receipt with date and category.,Rules of Allotment of Houses for Employees
What if two applicants have equal merit and age?,The one who applied earlier is preferred.,Rules of Allotment of Houses for Employees
Can allotted housing be sub-let?,"No, sub-letting is not permitted.",Rules of Allotment of Houses for Employees
Are dependent parents considered family?,"Yes, along with spouse and children.",Rules of Allotment of Houses for Employees
Are the rules applicable at all campuses?,Primarily at the Main Campus.,Rules of Allotment of Houses for Employees
Can an employee retain housing after joining another post?,"No, must vacate.",Rules of Allotment of Houses for Employees
Can faculty get priority over officers for larger houses?,Only if they are higher on the merit list.,Rules of Allotment of Houses for Employees
What if an applicant applies for the wrong category?,The application may be rejected.,Rules of Allotment of Houses for Employees
Can married couples both working at SIBAU get separate housing?,"No, one accommodation per family is allowed.",Rules of Allotment of Houses for Employees
Are houses categorized by size or rank?,"Yes, based on employee grade and designation.",Rules of Allotment of Houses for Employees
Who handles grievances about allotment?,Office of Colony Affairs or higher administration.,Rules of Allotment of Houses for Employees
Are applications time-bound?,Applications must be renewed if rejected or refused.,Rules of Allotment of Houses for Employees
What if someone’s family doesn’t move in after allotment?,Allotment can be canceled after 30 days.,Rules of Allotment of Houses for Employees
Is a housing clearance certificate required on departure?,"Yes, especially before proceeding on long leave.",Rules of Allotment of Houses for Employees
Can the rules be amended?,"Yes, with Vice Chancellor’s approval.",Rules of Allotment of Houses for Employees
Are rooms available for short-term stays?,"Yes, based on availability and policy.",Rules of Allotment of Houses for Employees
Is there a provision for emergency allotment?,Not specified; merit-based is standard.,Rules of Allotment of Houses for Employees
Is allotment allowed during probation?,Only after confirmation of employment.,Rules of Allotment of Houses for Employees
Who can approve leave at Sukkur IBA University?,"Head of Department, Registrar, or Vice Chancellor depending on employee grade.",Leave Rules with Extraordinary Leave
Can an employee claim leave as a right?,"No, it can be refused based on the exigencies of duty.",Leave Rules with Extraordinary Leave
What happens if leave is taken without approval?,"It can lead to salary deductions, inquiry, or termination.",Leave Rules with Extraordinary Leave
How many annual leave days are allowed for non-teaching staff?,30 calendar days after one year of service.,Leave Rules with Extraordinary Leave
Can earned leave be accumulated?,"Yes, without limit, but only 30 days can be encashed per year.",Leave Rules with Extraordinary Leave
Can casual leave be encashed?,"No, casual leave cannot be encashed.",Leave Rules with Extraordinary Leave
What is the policy for sick leave?,"10 working days annually, with medical certificate for more than 2 days.",Leave Rules with Extraordinary Leave
Can sick leave be adjusted against annual leave?,"Yes, if balance is insufficient.",Leave Rules with Extraordinary Leave
How is maternity leave granted?,"90 days with pay, not debited to earned/casual leave.",Leave Rules with Extraordinary Leave
How many times can maternity leave be availed?,Two times in the entire service.,Leave Rules with Extraordinary Leave
Who maintains leave records?,The Registrar Office.,Leave Rules with Extraordinary Leave
What is duty leave?,Leave granted for official duties without affecting leave balance.,Leave Rules with Extraordinary Leave
What is sabbatical leave?,"Leave for research or development, fully paid up to 3 months.",Leave Rules with Extraordinary Leave
Who can get sabbatical leave?,Employees with at least 3 years of service.,Leave Rules with Extraordinary Leave
Is study leave allowed?,"Yes, up to 4 years with surety bond and VC approval.",Leave Rules with Extraordinary Leave
What is the bond period for study leave up to 2 years?,3 years of service after returning.,Leave Rules with Extraordinary Leave
What is the bond period for study leave beyond 2 years?,5 years of service post-return.,Leave Rules with Extraordinary Leave
What if study leave terms are violated?,Employee must repay full benefits + Rs. 1 million.,Leave Rules with Extraordinary Leave
Can leave be prefixed with study leave?,"Yes, earned leave may be prefixed.",Leave Rules with Extraordinary Leave
What is the maximum period for extraordinary leave?,"5 years for those with 10+ years of service, 2 years otherwise.",Leave Rules with Extraordinary Leave
Is extraordinary leave paid?,"No, it is without pay.",Leave Rules with Extraordinary Leave
Can casual leave exceed 3 consecutive days?,It will be treated as annual leave if it does.,Leave Rules with Extraordinary Leave
Is red/green ink allowed in exams?,"No, only for headings.",Leave Rules with Extraordinary Leave
Can late arrivals affect salary?,"Yes, deductions apply based on how late the arrival is.",Leave Rules with Extraordinary Leave
How many late arrivals are allowed per month?,"7, beyond which show-cause notice is issued.",Leave Rules with Extraordinary Leave
Are special religious holidays granted?,"Yes, as per government announcements.",Leave Rules with Extraordinary Leave
When should casual leave application be submitted?,Ideally before or on the day of returning to work.,Leave Rules with Extraordinary Leave
Can casual leave be adjusted against other types?,"Yes, once the 10-day limit is exceeded.",Leave Rules with Extraordinary Leave
Can leave be revoked once granted?,"Yes, under duty exigencies.",Leave Rules with Extraordinary Leave
Can employees work elsewhere while on leave?,"No, not allowed.",Leave Rules with Extraordinary Leave
Can holidays within leave period be excluded?,"No, they are counted as part of leave.",Leave Rules with Extraordinary Leave
Is maternity leave granted during probation?,Not explicitly stated; must follow policy terms.,Leave Rules with Extraordinary Leave
Can study leave be extended?,"Yes, up to 1 year with VC’s approval.",Leave Rules with Extraordinary Leave
What is Leave Preparatory to Retirement (LPR)?,"Leave up to 365 days before retirement, with various pay options.",Leave Rules with Extraordinary Leave
Can LPR be encashed?,"Yes, up to 180 days with written commitment.",Leave Rules with Extraordinary Leave
Is leave processing the same for teaching and non-teaching?,Process is similar but conditions vary.,Leave Rules with Extraordinary Leave
Can medical emergencies justify late leave applications?,"Yes, verbal approvals allowed in emergencies.",Leave Rules with Extraordinary Leave
Can leave be granted retrospectively?,"Yes, under extraordinary circumstances.",Leave Rules with Extraordinary Leave
Are medical certificates mandatory for sick leave?,"Yes, if exceeding 2 days.",Leave Rules with Extraordinary Leave
What is the purpose of the Health Insurance Policy?,To ensure coverage for employees and their dependents.,Health Insurance Benefits
Who is eligible for insurance?,"Employees, spouses, children, and parents.",Health Insurance Benefits
What is the coverage period?,"September 1, 2024 to August 31, 2025.",Health Insurance Benefits
What is the age limit for dependent parents?,90 years.,Health Insurance Benefits
What is the hospitalization limit for Category A?,"Rs. 1,500,000.",Health Insurance Benefits
What is the maternity limit for normal delivery in Category A?,"Rs. 130,000.",Health Insurance Benefits
What is the cesarean limit in Category C?,"Rs. 100,000.",Health Insurance Benefits
Are pre-existing conditions covered?,"Yes, including maternity and congenital.",Health Insurance Benefits
What is covered under hospitalization benefit?,"ICU, diagnostics, medicines, surgery, dialysis, etc.",Health Insurance Benefits
Are panel hospitals available?,"Yes, with cashless treatment.",Health Insurance Benefits
Is prior approval required for planned admissions?,"Yes, through IGI Insurance.",Health Insurance Benefits
What is the coverage for circumcision?,"Rs. 10,000 from maternity limit.",Health Insurance Benefits
Are emergency services covered?,"Yes, including ambulance and ER services.",Health Insurance Benefits
Are diagnostic tests during hospitalization covered?,Yes.,Health Insurance Benefits
Are maternity benefits available at home deliveries?,"Yes, Rs. 10,000 if delivered by licensed midwife.",Health Insurance Benefits
Can dental treatments be reimbursed?,Only for accidental injuries.,Health Insurance Benefits
What is the daily room rent under Category B?,"Rs. 16,000 or semi-private room at AKUH.",Health Insurance Benefits
What are the reimbursement claim requirements?,"Bills, prescriptions, discharge summary, and claim form.",Health Insurance Benefits
How soon must bills be submitted after treatment?,"Within the agreed timeframe, via HR.",Health Insurance Benefits
Is OPD covered under this plan?,Not mentioned; only inpatient covered.,Health Insurance Benefits
What if treatment occurs at a non-panel hospital?,Reimbursement is possible with valid documents.,Health Insurance Benefits
What is IGI’s helpline number?,042-34503333 (24/7).,Health Insurance Benefits
Who to contact for claims processing?,HR at Sukkur IBA.,Health Insurance Benefits
Are diagnostic discounts available?,"Yes, 15-30% at registered labs and clinics.",Health Insurance Benefits
What if hospitalization is due to accident?,50% enhancement in coverage limit.,Health Insurance Benefits
Is cataract surgery covered?,Yes.,Health Insurance Benefits
Are specialized scans like MRI covered?,"Yes, under hospitalization benefit.",Health Insurance Benefits
Is prior approval required in emergencies?,"No, but inform IGI and submit claims post-treatment.",Health Insurance Benefits
Are chemotherapy and radiotherapy covered?,Yes.,Health Insurance Benefits
Are post-hospitalization expenses covered?,"Yes, for 30 days.",Health Insurance Benefits
What documents are needed for planned treatment?,"Doctor’s prescription, clinical history, estimated bill.",Health Insurance Benefits
What are cashless treatment steps?,"Show CNIC & card at panel hospital, no payment needed.",Health Insurance Benefits
Is blood transfusion covered?,"Yes, during hospital stay.",Health Insurance Benefits
Are pre-hospitalization diagnostics covered?,"Yes, 30 days prior to admission.",Health Insurance Benefits
What happens if excess charges are incurred?,Patient must pay over and above approved limits.,Health Insurance Benefits
Is health card transferable?,"No, it is for registered individuals only.",Health Insurance Benefits
How to obtain referral letter for treatment?,Through HR by submitting documents to IGI.,Health Insurance Benefits
Are family members covered under one limit?,"Yes, total family coverage under plan category.",Health Insurance Benefits
Can claims be submitted after discharge?,"Yes, with all original documents.",Health Insurance Benefits
Is midwife delivery reimbursement universal?,"No, only if certified midwife performs the delivery.",Health Insurance Benefits
What must students write answers on during exams?,On both sides of the university-provided answer book.,Exam Instructions
Can students bring rough paper to the exam?,"No, rough work must be done on the answer book and struck out.",Exam Instructions
What is prohibited on the question paper?,Writing anything except name and CMS-ID.,Exam Instructions
Can candidates take the question paper home?,"No, it must not be removed from the hall.",Exam Instructions
Are students allowed to leave the hall in the first hour?,"No, not before one hour has passed.",Exam Instructions
Can a student re-enter after leaving the exam hall?,"No, unless permitted by the head invigilator.",Exam Instructions
Is it allowed to help other candidates?,"No, it's strictly prohibited and considered misconduct.",Exam Instructions
Can students communicate inside or outside the exam hall?,"No, all forms of communication are banned.",Exam Instructions
Are mobile phones allowed in the exam hall?,"No, they are strictly prohibited.",Exam Instructions
What happens if a student is caught with notes?,"They are subject to severe punishment, including failing the paper.",Exam Instructions
Can smart watches be used during the exam?,"No, all smart devices are banned.",Exam Instructions
Is smoking allowed in the exam hall?,"No, it is strictly prohibited.",Exam Instructions
Can programmable calculators be used?,"No, only non-programmable ones if allowed.",Exam Instructions
Can head invigilators issue extra instructions?,"Yes, as necessary for smooth conduct of exams.",Exam Instructions
Can students use red or green ink?,"No, except for headings.",Exam Instructions
Is pencil allowed in exams?,Only for sketch work.,Exam Instructions
What happens if someone uses a pencil for writing answers?,The paper may be marked zero.,Exam Instructions
Are blank pages allowed in the answer book?,"No, blank pages must be crossed out.",Exam Instructions
What is the method to alert the invigilator?,Stand quietly without making noise.,Exam Instructions
When must students be in their seats?,Before the bell rings to start the exam.,Exam Instructions
How late can students enter the exam hall?,Not more than 30 minutes after the start of the exam.,Exam Instructions
Can students exchange items during the exam?,"No, exchanging calculators, pens, etc., is not allowed.",Exam Instructions
What happens if a student is caught using gestures?,"The paper is canceled, and an 'F' grade is given.",Exam Instructions
Are candidates allowed to whisper or make signals?,"No, it is treated as a serious offense.",Exam Instructions
What happens if pages are torn from the answer book?,Disciplinary action will be taken.,Exam Instructions
Are scribbles or markings on question paper allowed?,"No, except for name and CMS-ID.",Exam Instructions
Can invigilators penalize a student on suspicion?,"Yes, under examination rules and evidence.",Exam Instructions
How is rough work handled?,Done within the answer book and struck through.,Exam Instructions
Are students allowed to leave temporarily?,Not unless permitted by the head invigilator.,Exam Instructions
Can students ask others for help?,"No, it is strictly prohibited.",Exam Instructions
What is the punishment for cheating?,Failing the paper or disciplinary action.,Exam Instructions
Is silence mandatory during the exam?,"Yes, silence must be maintained at all times.",Exam Instructions
Are students allowed to bring books?,"No, books and notes are not allowed.",Exam Instructions
What writing instruments are allowed?,Only blue/black pens and pencils for sketches.,Exam Instructions
What is the rule about blank space usage?,"No page should be left blank; if unused, it must be struck out.",Exam Instructions
Can answer books be taken home?,"No, they are university property.",Exam Instructions
Are calculators allowed for all papers?,Only if permitted for the subject.,Exam Instructions
Who enforces these exam instructions?,Head invigilator and examination staff.,Exam Instructions
What happens to students found breaking rules?,"Disqualification, failing grades, or academic probation.",Exam Instructions
Can these rules change?,"Yes, additional instructions can be issued by exam authorities.",Exam Instructions
What is the purpose of the Social and Community Engagement Policy?,To develop socially responsible graduates through real-world engagement.,Social and Community Engagement Policy
Is this a credit-based course?,"No, it is a non-credit but mandatory requirement.",Social and Community Engagement Policy
Who must complete this requirement?,All undergraduate and MBA students.,Social and Community Engagement Policy
When can students do their engagement project?,During semesters or academic breaks.,Social and Community Engagement Policy
What is the minimum required engagement time?,40 hours.,Social and Community Engagement Policy
Who coordinates this program?,The designated Liaison Officer assigned by the HoD or Dean.,Social and Community Engagement Policy
What types of organizations are acceptable?,"Registered NGOs, social enterprises, and approved welfare projects.",Social and Community Engagement Policy
Can students choose their own organizations?,"Yes, with CDC and Liaison Officer’s approval.",Social and Community Engagement Policy
What forms must be submitted after completion?,"Certificate, appraisal form, and a final report.",Social and Community Engagement Policy
Can projects be done in multiple organizations?,"No, one organization per student per engagement.",Social and Community Engagement Policy
Is this program a substitute for internship?,"No, it is separate from corporate internships.",Social and Community Engagement Policy
What skills does the program aim to develop?,"Leadership, empathy, communication, teamwork, and problem-solving.",Social and Community Engagement Policy
Who provides the recommendation letter?,CDC via the Student Facilitation System (SFS).,Social and Community Engagement Policy
What platforms announce engagement opportunities?,"SIBAU Job Portal, CDC Facebook group, and CDC email.",Social and Community Engagement Policy
What are the reporting requirements post-project?,"A full report with structure including introduction, tasks, and outcomes.",Social and Community Engagement Policy
How are performance evaluations handled?,By the host organization via a prescribed appraisal form.,Social and Community Engagement Policy
